NR_156897	Anaeromicrobium
NR_156896	Sporosalibacterium
NR_156895	Pontibacter
NR_156894	Mucilaginibacter
NR_156893	Spirosoma
NR_156892	Pedobacter
NR_156891	Rhodohalobacter
NR_156890	Algoriphagus
NR_156889	Hymenobacter
NR_156888	Niveitalea
NR_156887	Flectobacillus
NR_156886	Nonlabens
NR_156885	Pedobacter
NR_156884	Pedobacter
NR_156883	Pedobacter
NR_156882	Pedobacter
NR_156881	Haloterrigena
NR_156880	Haloterrigena
NR_156879	Halorubrum
NR_156878	Sanguibacter
NR_156877	Frankia
NR_156876	Williamsia
NR_156875	Haloactinomyces
NR_156874	Nonomuraea
NR_156873	Actinophytocola
NR_156872	Glutamicibacter
NR_156871	Actinotalea
NR_156870	Streptomyces
NR_156869	Nocardioides
NR_156868	Subtercola
NR_156867	Humibacter
NR_156866	Nocardia
NR_156865	Virgisporangium
NR_156864	Halomarina
NR_156863	Devosia
NR_156862	Aquidulcibacter
NR_156861	Brevundimonas
NR_156860	Pseudaeromonas
NR_156859	Microbulbifer
NR_156858	Planctobacterium
NR_156857	Brevundimonas
NR_156856	Rhizobium
NR_156855	Alcaligenes
NR_156854	Halofilum
NR_156853	Altererythrobacter
NR_156852	Pseudomonas
NR_156851	Chthonobacter
NR_156850	Devosia
NR_156849	Sphingomonas
NR_156848	Micropepsis
NR_156847	Colwellia
NR_156846	Microbaculum
NR_156845	Acinetobacter
NR_156844	Ruficoccus
NR_156843	Lysobacter
NR_156842	Paenibacillus
NR_156841	Paenibacillus
NR_156840	Desulfuribacillus
NR_156839	Paenibacillus
NR_156838	Planococcus
NR_156837	Solibacillus
NR_156836	Paenibacillus
NR_156835	Corticicoccus
NR_156834	Brevibacillus
NR_156833	Muricauda
NR_156832	Arachidicoccus
NR_156831	Flavobacterium
NR_156830	Euzebyella
NR_156829	Algoriphagus
NR_156828	Flavobacterium
NR_156827	Terrimonas
NR_156826	Hymenobacter
NR_156825	Chryseobacterium
NR_156824	Niabella
NR_156823	Maripseudobacter
NR_156822	Mucilaginibacter
NR_156821	Halobaculum
NR_156820	Halobaculum
NR_156819	Mycolicibacterium
NR_156818	Staphylococcus
NR_156817	Spirosoma
NR_156816	Spirosoma
NR_156815	Pseudomonas
NR_156814	Photobacterium
NR_156812	Libanicoccus
NR_156811	Larkinella
NR_156810	Klenkia
NR_156809	Halobium
NR_156808	Halobium
NR_156805	Campylobacter
NR_156802	Campylobacter
NR_156801	Immundisolibacter
NR_156172	Dyella
NR_156171	Dyella
NR_156170	Aliidiomarina
NR_156169	Aliidiomarina
NR_156168	Aliidiomarina
NR_156167	Aliidiomarina
NR_156166	Aliidiomarina
NR_156165	Aliidiomarina
NR_156164	Aliidiomarina
NR_156163	Aliidiomarina
NR_156162	Vibrio
NR_156161	Caenimicrobium
NR_156160	Polymorphobacter
NR_156159	Oharaeibacter
NR_156158	Chelatococcus
NR_156157	Luteolibacter
NR_156156	Clostridium
NR_156155	Clostridium
NR_156154	Macrococcus
NR_156153	Paenibacillus
NR_156152	Gramella
NR_156151	Polaribacter
NR_156150	Runella
NR_156149	Echinicola
NR_156148	Arcticibacterium
NR_156147	Flavobacterium
NR_156146	Chryseobacterium
NR_156145	Chryseobacterium
NR_156144	Hymenobacter
NR_156143	Lutibacter
